SalesKey,DateKey,UnitCost,UnitPrice,SalesQuantity,ReturnQuantity,ReturnAmount,DiscountQuantity,DiscountAmount,TotalCost,SalesAmount,ChannelName,StoreType,StoreName,Status,CloseReason,EmployeeCount,SellingAreaSize,GeographyType,ContinentName,RegionCountryName,PromotionName,DiscountPercent,PromotionStartDate,PromotionEndDate,ProductName,ProductDescription,Manufacturer,BrandName,ClassName,ProductSubcategory,ProductCategory,MonthName,DayOfWeekName,Year,QuarterOfYear,MonthOfYear,DayOfMonth
1621973,2023-04-11 00:00:00.000,321.44,699,10,1,699,0,0,2892.96,6990,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Adventure Works Laptop15 M1501 White","15-inch screen, 60 GB hard drive, 128 MB of RAM (512 MB maximum), DVD-ROM","Adventure Works","Adventure Works","Regular","Laptops","Computers","April","Tuesday",2023,2,4,11
2006237,2023-04-23 00:00:00.000,321.44,699,10,1,699,0,0,2892.96,6990,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Proseware Projector 720p LCD56 Black","720p High Definition performance with 10,000:1 contrast ratio.","Proseware, Inc.","Proseware","Regular","Projectors & Screens","Computers","April","Sunday",2023,2,4,23
2311393,2023-04-26 00:00:00.000,321.44,699,10,1,699,0,0,2892.96,6990,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Adventure Works Laptop15 M1501 Silver","15-inches screen, 60 GB hard drive, 128 MB of RAM (512 MB maximum), DVD-ROM","Adventure Works","Adventure Works","Regular","Laptops","Computers","April","Wednesday",2023,2,4,26
2369679,2022-04-13 00:00:00.000,321.44,699,10,1,699,0,0,2892.96,6990,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Proseware Laptop15 M510 White","15-inches screen, 60 GB hard drive, 128 MB of RAM (512 MB maximum), DVD-ROM","Proseware, Inc.","Proseware","Regular","Laptops","Computers","April","Wednesday",2022,2,4,13
2743861,2023-04-22 00:00:00.000,321.44,699,10,1,699,0,0,2892.96,6990,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Fabrikam Laptop15 M5000 White","15-inches screen, 60 GB hard drive, 128 MB of RAM (512 MB maximum), DVD-ROM","Fabrikam, Inc.","Fabrikam","Regular","Laptops","Computers","April","Saturday",2023,2,4,22
2768496,2023-04-29 00:00:00.000,321.44,699,10,1,699,0,0,2892.96,6990,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Litware Home Theater System 5.1 Channel M512 Black","1000 watts over 5 channels, 1 center-channel speaker, and 1 subwoofer","Litware, Inc.","Litware","Regular","Home Theater System","TV and Video","April","Saturday",2023,2,4,29
2981904,2023-04-01 00:00:00.000,321.44,699,10,1,699,0,0,2892.96,6990,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Contoso Projector 720p M620 White","720p high definition performance with 10,000:1 contrast ratio","Contoso, Ltd","Contoso","Regular","Projectors & Screens","Computers","April","Saturday",2023,2,4,1
193905,2023-04-17 00:00:00.000,321.44,699,10,1,699,0,0,2892.96,6990,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Litware Home Theater System 5.1 Channel M511 Brown","1000 watts over 5 channels","Litware, Inc.","Litware","Regular","Home Theater System","TV and Video","April","Monday",2023,2,4,17
263615,2022-04-28 00:00:00.000,321.44,699,10,1,699,0,0,2892.96,6990,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Adventure Works Laptop15 M1501 White","15-inch screen, 60 GB hard drive, 128 MB of RAM (512 MB maximum), DVD-ROM","Adventure Works","Adventure Works","Regular","Laptops","Computers","April","Thursday",2022,2,4,28
622786,2022-04-28 00:00:00.000,321.44,699,10,1,699,0,0,2892.96,6990,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Adventure Works Laptop15 M1501 Blue","15-inches screen, 60 GB hard drive, 128 MB of RAM (512 MB maximum), DVD-ROM","Adventure Works","Adventure Works","Regular","Laptops","Computers","April","Thursday",2022,2,4,28
1275975,2023-04-29 00:00:00.000,321.44,699,10,1,699,0,0,2892.96,6990,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Proseware Projector 720p LCD56 Silver","720p high definition performance with 10,000:1 contrast ratio","Proseware, Inc.","Proseware","Regular","Projectors & Screens","Computers","April","Saturday",2023,2,4,29
1474544,2023-04-13 00:00:00.000,321.44,699,10,1,699,0,0,2892.96,6990,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Proseware Projector 720p LCD56 White","720p high definition performance with 10,000:1 contrast ratio","Proseware, Inc.","Proseware","Regular","Projectors & Screens","Computers","April","Thursday",2023,2,4,13
1852233,2023-04-01 00:00:00.000,91.05,198,10,1,198,0,0,819.45,1980,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"A. Datum Point Shoot Digital Camera M500 Black","gital camera, digital camera - compact, 3.7 in x 0.9 in x 2 in, weight 4.4 oz","A. Datum Corporation","A. Datum","Regular","Digital Cameras","Cameras and camcorders","April","Saturday",2023,2,4,1
2578459,2022-04-09 00:00:00.000,17.93,38.99,10,1,38.99,0,0,161.37,389.9,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Contoso Private Automatic Branch Exchange M65 Black","Digital answering machine with 16 minutes recording time","Contoso, Ltd","Contoso","Regular","Home & Office Phones","Cell phones","April","Saturday",2022,2,4,9
2611523,2023-04-08 00:00:00.000,10.12,22,10,1,22,0,0,91.08,220,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Contoso 4-Line Expandable Cordless Phone System M900 White","Operate via wireless Internet connection, making calls to reviewing call history; support all standard wireless network encryption protocols","Contoso, Ltd","Contoso","Regular","Home & Office Phones","Cell phones","April","Saturday",2023,2,4,8
2642421,2022-04-09 00:00:00.000,4.37,9.5,10,1,9.5,0,0,39.33,95,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Contoso Education Essentials Bundle M300 Grey","Education messenger essentials Bundle - notebook accessories bundle","Contoso, Ltd","Contoso","Regular","Computers Accessories","Computers","April","Saturday",2022,2,4,9
2663075,2022-04-23 00:00:00.000,316.85,689,10,1,689,0,0,2851.65,6890,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Litware Home Theater System 5.1 Channel M513 Brown","1000 watts over 5 channels, 1 center-channel speaker","Litware, Inc.","Litware","Regular","Home Theater System","TV and Video","April","Saturday",2022,2,4,23
2691921,2022-04-09 00:00:00.000,152.68,332,10,1,332,0,0,1374.12,3320,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Contoso SLR Camera M144 Silver Grey","Digital camera - SLR with live view mode, 5 in x 2.4 in x 3.9 in, 15.9 oz","Contoso, Ltd","Contoso","Regular","Digital SLR Cameras","Cameras and camcorders","April","Saturday",2022,2,4,9
2862302,2023-04-15 00:00:00.000,31.27,68,10,1,68,0,0,281.43,680,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Contoso Lens Adapter M450 Black","Lens adapter for cyber shot M-series digital cameras","Contoso, Ltd","Contoso","Regular","Cameras & Camcorders Accessories","Cameras and camcorders","April","Saturday",2023,2,4,15
2878040,2023-04-15 00:00:00.000,404.68,880,10,1,880,0,0,3642.12,8800,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Fabrikam Business Videographer 1/2'' 3mm M500 Black","1080i/p or 720p high definition or standard definition","Fabrikam, Inc.","Fabrikam","Regular","Camcorders","Cameras and camcorders","April","Saturday",2023,2,4,15
3055819,2023-04-22 00:00:00.000,152.94,299.99,10,1,299.99,0,0,1376.46,2999.9,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Adventure Works 15.6"" LCD TV M130W Brown","15.6'' Widescreen LCD TV, built-in DVD Player","Adventure Works","Adventure Works","Regular","Televisions","TV and Video","April","Saturday",2023,2,4,22
3381098,2023-04-01 00:00:00.000,53.34,116,10,1,116,0,0,480.06,1160,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Proseware Mobile Receipt and Document Scanner M200 White","13.7 x 8.8 x 7.6 inches, mobile receipt and document scanner","Proseware, Inc.","Proseware","Regular","Printers, Scanners & Fax","Computers","April","Saturday",2023,2,4,1
350776,2022-04-16 00:00:00.000,8.27,17.99,10,1,17.99,0,0,74.43,179.9,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"SV DVD 48 DVD Storage Binder M50 Black","Gift-wrapping is not available for this item","Southridge Video","Southridge Video","Regular","Movie DVD","Music, Movies and Audio Books","April","Saturday",2022,2,4,16
482775,2023-04-15 00:00:00.000,15.17,32.99,10,1,32.99,0,0,136.53,329.9,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Contoso Private Branch Exchange M88 White","Caller ID feature, Lighted keypad, handset speakerphone","Contoso, Ltd","Contoso","Regular","Home & Office Phones","Cell phones","April","Saturday",2023,2,4,15
627093,2023-04-08 00:00:00.000,294.54,889,10,1,889,0,0,2650.86,8890,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Contoso Home Theater System 7.1 Channel M1700 Black","660 watts into 7.1 channels","Contoso, Ltd","Contoso","Regular","Home Theater System","TV and Video","April","Saturday",2023,2,4,8
628510,2023-04-15 00:00:00.000,74.96,163,10,1,163,0,0,674.64,1630,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Proseware Office Jet All-in-One Printer M500 White","13.6 x 22.1 x 20.7 inches, CD with software, set-up poster, power cord","Proseware, Inc.","Proseware","Regular","Printers, Scanners & Fax","Computers","April","Saturday",2023,2,4,15
822852,2022-04-23 00:00:00.000,159.2,480.5,10,1,480.5,0,0,1432.8,4805,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Fabrikam SLR Camera X150 Green","Digital camera - SLR with live view mode","Fabrikam, Inc.","Fabrikam","Regular","Digital SLR Cameras","Cameras and camcorders","April","Saturday",2022,2,4,23
1052544,2022-04-23 00:00:00.000,8.27,17.99,10,1,17.99,0,0,74.43,179.9,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"SV DVD 48 DVD Storage Binder M50 Red","Gift-wrapping is not available for this item","Southridge Video","Southridge Video","Regular","Movie DVD","Music, Movies and Audio Books","April","Saturday",2022,2,4,23
1120160,2023-04-29 00:00:00.000,215.15,422,10,1,422,0,0,1936.35,4220,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Fabrikam Budget Moviemaker 1'' 25mm E400 White","Standard definition","Fabrikam, Inc.","Fabrikam","Regular","Camcorders","Cameras and camcorders","April","Saturday",2023,2,4,29
1239701,2023-04-01 00:00:00.000,83.16,251,10,1,251,0,0,748.44,2510,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Contoso Screen 106in M060 Black","16:9 aspect ratios-106in, electric/motorized screen for home theater and commercial presentations","Contoso, Ltd","Contoso","Regular","Projectors & Screens","Computers","April","Saturday",2023,2,4,1
468391,2022-04-23 00:00:00.000,167.73,329,10,1,329,0,0,1509.57,3290,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Contoso Home Theater System 4.1 Channel M1410 Black","4.1 Channel Front Surround, USB host, analog in, optical digital in/out","Contoso, Ltd","Contoso","Regular","Home Theater System","TV and Video","April","Saturday",2022,2,4,23
1397789,2023-04-01 00:00:00.000,7.59,16.5,10,1,16.5,0,0,68.31,165,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Contoso Laptop Starter Bundle M200 White","Get the four most popular accessories in one easy bundle with the Laptop 4-in-1 starter bundle This kit is the perfect complement to your laptop ensuring you have the tools you need","Contoso, Ltd","Contoso","Regular","Computers Accessories","Computers","April","Saturday",2023,2,4,1
2198534,2023-04-15 00:00:00.000,195.24,382.95,10,1,382.95,0,0,1757.16,3829.5,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Adventure Works Laptop12 M1201 Blue","80GB hard drive, 512MB memory","Adventure Works","Adventure Works","Regular","Laptops","Computers","April","Saturday",2023,2,4,15
3134098,2022-04-16 00:00:00.000,195.24,382.95,10,1,382.95,0,0,1757.16,3829.5,"Reseller","Reseller","Contoso North America Reseller","On","",15,450,"City","North America","United States","No Discount",0,2018-01-01 00:00:00.000,2025-12-31 00:00:00.000,"Fabrikam Laptop12 M2001 Silver","80GB hard drive, 512MB memory","Fabrikam, Inc.","Fabrikam","Regular","Laptops","Computers","April","Saturday",2022,2,4,16
